epoch,method,NMI,ARI,ACC,BalancedACC,F1_Macro,RareACC,UltraRareACC,n_clusters_found,resolution,selection_metric,selection_score,rare_weighted_silhouette,target_clusters,target_source,cluster_count_diff,noise_fraction,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_scan_enabled
119,hdbscan_final,0.8797254466446416,0.9035426457714304,0.9137842023748064,0.6921547708749113,0.6675958400485399,0.6352941176470588,0.5238095238095238,11,,rare_weighted_silhouette_unsupervised,0.82375518381286,0.82375518381286,8,legacy_estimate_k,3,0.0005162622612287042,8,6,eom,False
119,leiden_target14_final,0.760292585935799,0.4521368806498572,0.6453278265358803,0.6168786635666292,0.5976225153606862,0.8196078431372549,0.3333333333333333,14,0.8,cluster_count_abs_error_then_silhouette,0.4730619788169861,,14,,,,,,,
